symbol,company,salesPrice,drift,volatility,sectors
NVDA,Nvidia,191.27,0.0015,0.32,TECHNOLOGY
AAPL,Apple Inc.,276.43,0.0010,0.22,TECHNOLOGY|CONSUMER
MSFT,Microsoft,404.68,0.0012,0.22,TECHNOLOGY
AMZN,Amazon,204.62,0.0011,0.26,CONSUMER|TECHNOLOGY
GOOGL,Alphabet Inc. (Class A),311.20,0.0010,0.24,TECHNOLOGY|CONSUMER
GOOG,Alphabet Inc. (Class C),311.62,0.0010,0.24,TECHNOLOGY|CONSUMER
META,Meta Platforms,669.41,0.0012,0.28,TECHNOLOGY|CONSUMER
AVGO,Broadcom,343.35,0.0013,0.30,TECHNOLOGY
TSLA,Tesla Inc.,426.52,0.0010,0.45,CONSUMER|INDUSTRIALS
BRK.B,Berkshire Hathaway,501.05,0.0005,0.14,FINANCIALS
WMT,Walmart,128.75,0.0004,0.16,CONSUMER
LLY,Lilly (Eli),1014.43,0.0012,0.24,HEALTHCARE
JPM,JPMorgan Chase,311.14,0.0005,0.20,FINANCIALS
XOM,ExxonMobil,155.28,0.0003,0.26,ENERGY
V,Visa Inc.,329.54,0.0007,0.18,FINANCIALS
JNJ,Johnson & Johnson,240.70,0.0004,0.14,HEALTHCARE
MA,Mastercard,539.52,0.0007,0.18,FINANCIALS
MU,Micron Technology,411.25,0.0010,0.40,TECHNOLOGY
ORCL,Oracle Corporation,157.08,0.0010,0.24,TECHNOLOGY
COST,Costco,979.71,0.0006,0.16,CONSUMER
BAC,Bank of America,54.06,0.0004,0.24,FINANCIALS
ABBV,AbbVie,220.17,0.0006,0.18,HEALTHCARE
HD,Home Depot (The),389.46,0.0005,0.20,CONSUMER
PG,Procter & Gamble,159.45,0.0003,0.14,CONSUMER
CVX,Chevron Corporation,185.66,0.0003,0.24,ENERGY
CAT,Caterpillar Inc.,773.53,0.0006,0.26,INDUSTRIALS
AMD,Advanced Micro Devices,213.00,0.0014,0.42,TECHNOLOGY
CSCO,Cisco,85.82,0.0004,0.20,TECHNOLOGY
KO,Coca-Cola Company (The),78.51,0.0003,0.13,CONSUMER
NFLX,Netflix,79.94,0.0011,0.32,CONSUMER|TECHNOLOGY
GE,GE Aerospace,314.37,0.0007,0.24,INDUSTRIALS
PLTR,Palantir Technologies,135.59,0.0015,0.50,TECHNOLOGY
LRCX,Lam Research,236.60,0.0010,0.36,TECHNOLOGY
MRK,Merck & Co.,118.79,0.0005,0.18,HEALTHCARE
PM,Philip Morris International,185.99,0.0004,0.16,CONSUMER
GS,Goldman Sachs,949.29,0.0006,0.22,FINANCIALS
