quote, author
The stock market is a device for transferring money from the impatient to the patient.,Warren Buffett
In investing what is comfortable is rarely profitable.,Robert Arnott
The four most dangerous words in investing are: this time it's different.,Sir John Templeton
Wide diversification is only required when investors do not understand what they are doing.,Warren Buffett
Risk comes from not knowing what you are doing.,Warren Buffett
The market is filled with individuals who know the price of everything but the value of nothing.,Philip Fisher
An investment in knowledge pays the best interest.,Benjamin Franklin
Do not save what is left after spending but spend what is left after saving.,Warren Buffett
The individual investor should act consistently as an investor and not as a speculator.,Benjamin Graham
Price is what you pay. Value is what you get.,Warren Buffett
The best investment you can make is in yourself.,Warren Buffett
It's not how much money you make but how much money you keep.,Robert Kiyosaki
The more you learn the more you earn.,Warren Buffett
Know what you own and know why you own it.,Peter Lynch
Behind every stock is a company. Find out what it's doing.,Peter Lynch
The goal of the non-professional should not be to pick winners but to own a cross-section of businesses.,John Bogle
Never invest in a business you cannot understand.,Warren Buffett
In the short run the market is a voting machine. In the long run it is a weighing machine.,Benjamin Graham
Financial peace isn't the acquisition of stuff. It's learning to live on less than you make.,Dave Ramsey
The secret to investing is to figure out the value of something and then pay a lot less.,Joel Greenblatt
Compound interest is the eighth wonder of the world. He who understands it earns it.,Albert Einstein
October is one of the peculiarly dangerous months to speculate in stocks.,Mark Twain
The biggest risk of all is not taking one.,Mellody Hobson
You get recessions you have stock market declines. If you don't understand that's going to happen then you're not ready.,Peter Lynch
The stock market is a no-called-strike game. You don't have to swing at everything.,Warren Buffett
Buy when everyone else is selling and hold when everyone else is buying.,J. Paul Getty
A penny saved is a penny earned.,Benjamin Franklin
Bull markets are born on pessimism grown on skepticism matured on optimism and die on euphoria.,Sir John Templeton
The time of maximum pessimism is the best time to buy.,Sir John Templeton
Investing should be more like watching paint dry or watching grass grow.,Paul Samuelson
How many millionaires do you know who have become wealthy by investing in savings accounts?,Robert G. Allen
Every once in a while the market does something so stupid it takes your breath away.,Jim Cramer
The most contrarian thing of all is not to oppose the crowd but to think for yourself.,Peter Thiel
I will tell you how to become rich. Be fearful when others are greedy. Be greedy when others are fearful.,Warren Buffett
Wealth is not about having a lot of money. It's about having a lot of options.,Chris Rock
Financial freedom is available to those who learn about it and work for it.,Robert Kiyosaki
Don't look for the needle in the haystack. Just buy the haystack.,John Bogle
The stock market is filled with individuals who know the price of everything and the value of nothing.,Philip Fisher
Successful investing takes time discipline and patience.,Warren Buffett
It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.,Warren Buffett
