symbol,company,salesPrice,drift,volatility,sectors
APLN,Applena Technologies,182.45,0.0008,0.22,TECHNOLOGY|CONSUMER
NVRA,Novara Semiconductors,478.20,0.0012,0.35,TECHNOLOGY|INDUSTRIALS
QNTM,Quantum Dynamics Corp,95.30,0.0015,0.42,TECHNOLOGY
HLIX,Helix Software Systems,267.80,0.0009,0.25,TECHNOLOGY
BYTE,ByteForge Industries,54.12,0.0005,0.30,TECHNOLOGY|INDUSTRIALS
ORBT,Orbital Networks,128.65,0.0007,0.28,TECHNOLOGY
NEXU,Nexus AI Labs,612.40,0.0020,0.45,TECHNOLOGY
PIXL,PixelCore Studios,38.90,0.0003,0.38,TECHNOLOGY|CONSUMER
ZENO,Zenova Robotics,205.15,0.0011,0.33,TECHNOLOGY|INDUSTRIALS
CYBR,CyberShield Security,89.75,0.0008,0.26,TECHNOLOGY
GOLN,Golden Vale Banking,156.30,0.0004,0.15,FINANCIALS
CRDS,Credos Financial Group,72.45,0.0003,0.18,FINANCIALS
VLTA,Volta Capital Partners,318.60,0.0006,0.20,FINANCIALS
PYRA,Pyramid Investments,44.20,0.0002,0.24,FINANCIALS|REALESTATE
STRL,Sterling Trust Bank,201.85,0.0003,0.14,FINANCIALS
MEDA,Medavex Pharmaceuticals,143.55,0.0006,0.28,HEALTHCARE
BIOL,BioLumen Therapeutics,67.80,0.0010,0.50,HEALTHCARE
VITA,VitaCare Health,98.40,0.0004,0.19,HEALTHCARE|CONSUMER
GENO,Genolab Sciences,425.10,0.0014,0.48,HEALTHCARE|TECHNOLOGY
HRTX,Heartrex Medical,76.25,0.0005,0.32,HEALTHCARE
PETR,Petrolux Energy,82.50,0.0002,0.34,ENERGY
SOLR,SolarPeak Industries,29.15,0.0009,0.40,ENERGY|INDUSTRIALS
WIND,Windforce Renewables,41.70,0.0007,0.36,ENERGY|INDUSTRIALS
NUKL,Nukleon Power Corp,164.90,0.0001,0.16,ENERGY
GRID,Gridline Utilities,58.35,0.0001,0.10,ENERGY|INDUSTRIALS
SHOP,Shopwave Retail Group,112.80,0.0004,0.22,CONSUMER
FOOD,FreshFoods Market,46.55,0.0002,0.12,CONSUMER
BREW,Brewmaster Beverages,89.20,0.0003,0.15,CONSUMER
LUXE,Luxeport Fashion,234.65,0.0005,0.29,CONSUMER
ROAM,Roamline Airlines,33.40,0.0001,0.41,INDUSTRIALS|CONSUMER
